Name,Friendly_Message__c,SFDC_Error_Type__c
FIELD_CUSTOM_VALIDATION_EXCEPTION,Data quality issue. Please fix before saving record:,SystemDmlException
REQUIRED_FIELD_MISSING,Required fields not filled out. Please fill out the following fields and try saving again:,SystemDmlException
SObject row was retrieved via SOQL,A field was omitted from a SOQL statement:,SystemSObjectException
UNABLE_TO_LOCK_ROW,A trigger is trying to update a record that is currently being updated by another user. Please try again in a few minutes.,SystemDmlException
Attempt to de-reference a null object,An apex trigger tried referencing an object that is empty.,SystemNullPointerException
ENTITY_IS_DELETED,A trigger is trying to update a {{object}} record that has been deleted.,SystemDmlException
General,Something happened when saving the record. Please contact your system administrator.,None
